"symbol","RO","RA","RA-RO","PRA-RO","FDR"
"KDELC1",4.24760424114255,4.8678812305558,0.620276989413249,2.72387546413168e-05,0.00459584279097746
"LOC100129316",2.11506959972129,3.31511232894204,1.20004272922074,2.70531242787649e-05,0.00459584279097746
"SMG5",8.40439677232056,8.83351727420151,0.429120501880947,3.26627870778051e-05,0.00522312090674036
"MAX",7.33645755899728,7.79143438670917,0.454976827711884,3.2585766422076e-05,0.00522312090674036
"FAM53B-AS1",4.08996078228578,5.27956944975738,1.1896086674716,3.51083579990865e-05,0.00550111530549231
"LOC102724596",3.81415763863805,5.3483978039875,1.53424016534945,3.5831032806174e-05,0.00556367660123694
"SYS1",5.67706697359541,6.06993591601327,0.392868942417852,3.75601671086312e-05,0.00574885186288392
"FBXL19-AS1",3.81742221971052,4.71491313826619,0.897490918555671,3.82901059586561e-05,0.00577394146324791
"CCNA2",3.60049825390501,4.67002387952937,1.06952562562436,4.08042257009302e-05,0.00600009314691858
"LYG1",4.61763743858049,5.55034387972615,0.932706441145656,4.21171724477882e-05,0.0060978835892649
"LINC01561",4.68060252235022,6.02604416610054,1.34544164375032,4.20240340762973e-05,0.0060978835892649
"SNORA38B",9.17050153133957,10.2078770306656,1.03737549932607,4.42362905290542e-05,0.00623615285168799
"LINC00638",3.25105407946274,4.47582606945228,1.22477198998953,4.53203758051403e-05,0.0063472223055722
"PPP4R3A",7.18309797150968,7.55600419395035,0.372906222440668,4.642843536707e-05,0.00641850653577792
"ZNF431",4.41615484743667,4.88074999838984,0.464595150953172,4.77990156839884e-05,0.00648251460807914
"AKR1C2",3.00290514725073,4.05515342429006,1.05224827703933,5.15936123224233e-05,0.00682436990644992
"PRR34",4.09497534534156,5.58000050262026,1.48502515727869,5.27916535435129e-05,0.00693999725233371
"LOC101929054",2.58436317661564,3.74223997402996,1.15787679741431,5.35569958612185e-05,0.00699767870313531
"CNMD",3.35254004181565,4.20667988768163,0.85413984586598,5.7085476660953e-05,0.00724081098664367
"ZBTB16",9.62165452795222,10.1250005363585,0.503346008406284,6.01358025528713e-05,0.0075356139011867
"GPS2",8.2713188968671,8.62764193740651,0.356323040539408,6.40395878098629e-05,0.00793202478375573
"PDE4DIP",7.43136060054715,7.92743356712784,0.496072966580686,6.50678760061464e-05,0.00797174110197791
"NAA16",5.89192702199076,6.41367081299814,0.521743791007378,6.66676538073978e-05,0.00802558699879169
"COX19",5.90425520162189,6.45798798186594,0.55373278024405,6.66134602388056e-05,0.00802558699879169
"C1orf226",4.36632073902953,5.14474589403584,0.778425155006313,7.24002572884149e-05,0.00857123045953676
"CHRNA5",1.13281910810538,2.06834093323236,0.935521825126981,7.69364222295013e-05,0.00886340675018148
"KANSL1L",6.43344736086955,6.92299057336854,0.489543212498988,7.84525485432404e-05,0.00895452876856713
"MTSS1L",11.0968402408288,11.8095580955471,0.712717854718301,7.88908268587925e-05,0.00895452876856713
"TSC22D3",8.27717896508983,8.81468798397894,0.537509018889107,7.98290460747976e-05,0.00900303578574085
"SPOUT1",6.6537345188973,7.17492904738329,0.521194528485989,8.1658985289863e-05,0.00916119757482296
"GTSE1-AS1",2.79738951215199,3.90912459352389,1.1117350813719,8.30395214333514e-05,0.00926755658996799
"CLDN9",4.24767536791545,5.43329101042302,1.18561564250757,8.4851557004387e-05,0.00942072105435235
"FOXN3",7.02582755239559,7.49048716777355,0.464659615377959,8.71314321523726e-05,0.00962398107299505
"ZC3H12C",5.49727754712294,6.0694636526663,0.572186105543357,8.78036733257748e-05,0.00964849801038309
"TJP3",4.36333573413379,4.54740608033919,0.184070346205397,8.86830889820159e-05,0.0096954144423808
"CYP4B1",1.36223626330922,2.67930148601344,1.31706522270422,9.83780640929754e-05,0.0105402257869214
"LBX2-AS1",1.68807776174604,2.74203585435707,1.05395809261103,9.93168099152204e-05,0.0105415411540028
"UCKL1-AS1",4.67348704010378,6.20083452346977,1.52734748336599,0.00010066188047514,0.0105415411540028
"PLCG1",8.65708540491494,9.22058563168893,0.563500226773987,0.000104003780744149,0.0105852141864765
"TSHR",3.0733015127747,4.02420555590244,0.950904043127745,0.000104167398023168,0.0105852141864765
"MRGPRF",4.00610744358181,5.31607283314849,1.30996538956668,0.000103115713765974,0.0105852141864765
"GMNC",0.849024392036312,1.79321711885391,0.944192726817595,0.000110887942269613,0.0108004855770603
