"SYMBOL","nprobes","meanlogFC","minadjP","meanB"
"LOC642921",1,0.199035971289392,1.6516136849018e-05,7.43475025880314
"TSPAN7",1,-0.717883514901388,1.66184204078211e-05,7.42462417425732
"SIRT1",1,0.262417568318236,1.67092460766894e-05,7.41520622326781
"C13ORF1",1,-0.522890837305336,1.67432276287917e-05,7.39655569552684
"OLFM1",1,-0.428017573194508,1.67432276287917e-05,7.39928803535039
"POLR2H",1,0.304701071794288,1.67432276287917e-05,7.40053343532231
"TUBB2A",1,-0.988217543516585,1.67432276287917e-05,7.39976734659886
"BDNF",1,-0.175548987243737,1.69008550586682e-05,7.37937993141229
"SH2D5",1,-0.340769319340402,1.69008550586682e-05,7.38196450746957
"BTBD7",1,0.152326066579604,1.69429795256464e-05,7.37256615131001
"RN7SK",1,0.712898621331584,1.69429795256464e-05,7.36883073821243
"NEDD8",1,-0.258283214746138,1.71327971206613e-05,7.3541544249662
"NRN1",1,-0.466097021051479,1.71495050169912e-05,7.34424998413834
"POLA1",1,0.292452168235952,1.71495050169912e-05,7.34114127619507
"SIPA1",1,0.750770033695753,1.71495050169912e-05,7.347659945855
"BNIP3",1,-0.413190653798562,1.73414345967585e-05,7.30087446814958
"HS.143018",1,0.761906632126079,1.73414345967585e-05,7.29518030053614
"LASS2",1,0.39754703042613,1.73414345967585e-05,7.30399499845532
"LOC100189589",1,-0.183252721234667,1.73414345967585e-05,7.32595911948915
"LRRC49",1,-0.506246816971393,1.73414345967585e-05,7.31034794649909
"MOCS2",1,-0.123294767443569,1.73414345967585e-05,7.30757320246409
"PCDH19",1,-0.569680328734437,1.73414345967585e-05,7.29732886982461
"PTRF",1,0.782904384156769,1.73414345967585e-05,7.30820919077628
"ZHX3",1,0.563644836993619,1.73414345967585e-05,7.31320156482032
"IQGAP1",1,0.424700657151572,1.77700478104167e-05,7.26042286918317
"PPP1R16A",1,0.554486988622893,1.77700478104167e-05,7.26516321894311
"UXT",1,0.254935286744958,1.77700478104167e-05,7.26295159667464
"COQ6",1,-0.177786049650826,1.79181541096774e-05,7.24871421346158
"C6ORF142",1,-0.528343864507341,1.82185876956922e-05,7.22908844868338
"ENPP5",1,-0.532164522850447,1.85723860621652e-05,7.20323923255063
"ZNF215",1,-0.224610485445726,1.85723860621652e-05,7.20564810802795
"ALOX12B",1,-0.202303795923037,1.86229279397295e-05,7.19595220205809
"BCL2L12",1,0.152848864048615,1.86229279397295e-05,7.1890122738201
"KCNF1",1,-0.494686644372763,1.86229279397295e-05,7.18576831525325
"SSH3",1,0.232346396489222,1.86229279397295e-05,7.18664592371305
"C2ORF80",1,-0.913820260479692,1.863145731811e-05,7.17100010837896
"HS.539915",1,-0.145574132965851,1.863145731811e-05,7.17067902304652
"SMYD3",1,-0.425663331869877,1.863145731811e-05,7.17318453112236
"ZNF786",1,0.758982233622444,1.863145731811e-05,7.17103668260556
"PLXDC2",1,0.54238409318922,1.87919541674759e-05,7.15837186022494
"ZNF652",1,0.580467637269335,1.87919541674759e-05,7.15526700279164
"CBLN4",1,-0.974819586266467,1.87962791593844e-05,7.14577373140672
"NACC2",1,0.524493290467252,1.87962791593844e-05,7.14351228647741
"NEUROD6",1,-0.464215622232345,1.87962791593844e-05,7.14072579255083
"RBM6",1,0.547397291509757,1.87962791593844e-05,7.14222684513273
"HS.370359",1,0.414112668219261,1.9119794462594e-05,7.12012576070221
"NOTCH1",1,0.69672055166405,1.9119794462594e-05,7.11739246808201
"PPP4R1",1,0.266889621805234,1.92122334729622e-05,7.10927848704339
"COX5A",1,-0.434795963035436,1.94290657026358e-05,7.09158799876066
"ST6GALNAC5",1,-1.01139651969289,1.94290657026358e-05,7.09455761032107
"CACNB2",1,-0.416495277276113,1.97185308380778e-05,7.07402263909886
"LOC100131541",1,0.599918676681522,1.98510060917609e-05,7.06417703969311
"DNAJC27",1,-0.289340579296763,2.00064985956136e-05,7.05329037080695
"EVC",1,0.111607350282777,2.00549332053821e-05,7.0432019604227
"NME1",1,-0.558770873629344,2.00549332053821e-05,7.04598349362728
"ZCCHC24",1,0.798029703486899,2.00549332053821e-05,7.04069294605345
"POP7",1,-0.343809128360995,2.01411340796789e-05,7.03320174423074
"PIP5K2B",1,0.608527078039627,2.03473532121851e-05,7.02010687711283
"SPCS1",1,-0.554185769494568,2.05863009590383e-05,7.00560707845237
"LILRA2",1,0.383423339755433,2.06281953415951e-05,6.99848474155795
"TRIM48",1,-0.314240863457392,2.06281953415951e-05,6.99694189686978
"A2BP1",1,-0.528248631264173,2.06782860356295e-05,6.98853301515336
"B3GALNT1",1,-0.430982652185522,2.06782860356295e-05,6.98550645780239
"VAMP2",1,-1.10716027741308,2.06782860356295e-05,6.98462698383183
"CD63",1,0.400575827548984,2.07411715408425e-05,6.97842377369672
"LOC390557",1,0.582471395188906,2.08511510139542e-05,6.97008789146014
"B3GNT1",1,-0.45825737442892,2.11442259864863e-05,6.95102245396861
"RAXL1",1,0.800183998279973,2.11442259864863e-05,6.95023158968858
"BEND7",1,0.199902137655175,2.15829066186775e-05,6.92415882011138
"CACNG3",1,-0.784574095844855,2.15829066186775e-05,6.9243120072634
"C2ORF30",1,-0.648368918418527,2.1601182138772e-05,6.91986946383535
"TRIM56",1,0.523121368611148,2.1601182138772e-05,6.91687614533686
"TMEM177",1,-0.263636608811711,2.22548345068831e-05,6.88527212263846
"CSNK2A1",1,-0.251049824547463,2.23223815765362e-05,6.87917599579956
"NPTXR",1,-0.550802229057619,2.23932800389393e-05,6.86976759031641
"RBM17",1,0.410764760752008,2.23932800389393e-05,6.87204446616222
"ATP6V1G2",1,-0.927576746270578,2.26320769393823e-05,6.85649066052918
"DOLK",1,-0.233892257126617,2.28262615506961e-05,6.8451893248457
"TBCA",1,-0.296953784668087,2.31826604030641e-05,6.82728307052357
"AHNAK",1,0.793496975323054,2.33515959230834e-05,6.81722426278837
"LOC440731",1,0.251704972539025,2.39205719086614e-05,6.79117158036559
"RGS7",1,-1.12168583528015,2.39807045732319e-05,6.77989456657511
"SLC35B1",1,-0.309868562578702,2.39807045732319e-05,6.77943396923166
"WBSCR17",1,-0.234553984529337,2.39807045732319e-05,6.7833141169544
"HS.443490",1,-0.48386945613239,2.41094125595404e-05,6.76758335888547
"HS.531457",1,0.594059070601043,2.41094125595404e-05,6.76201655332135
"LEAP2",1,0.231009411687155,2.41094125595404e-05,6.76366684594488
"LOC440043",1,-0.347823561691266,2.41094125595404e-05,6.76518154430164
"CD151",1,0.625074767996054,2.4339235090403e-05,6.7499302556158
"UHRF1",1,0.294171656326381,2.44172030683838e-05,6.74384010794961
"ADIPOR2",1,0.495414393486655,2.44662204269053e-05,6.7388950628256
"DTD1",1,-0.352702588158161,2.47185702718037e-05,6.72610158557161
"KCNB2",1,-0.545941049901542,2.47962051214105e-05,6.71177784369352
"PABPC1L",1,0.354107301423358,2.47962051214105e-05,6.7136569605143
"TIMM23",1,-0.369531619016181,2.47962051214105e-05,6.71110662193856
"ZMIZ2",1,0.304993226696833,2.47962051214105e-05,6.71492143390522
"CHES1",1,0.347629170681927,2.48742725061734e-05,6.70216609811393
"INTS9",1,0.283876184908552,2.48742725061734e-05,6.70367397708528
"SRD5A1",1,-0.31839436010374,2.49057999937597e-05,6.69800009115511
"MEIS3",1,-0.264404606299736,2.49383304003117e-05,6.69380653867919
"KRT222",1,-0.658488569996393,2.51177275368508e-05,6.68404238121419
"ARF5",1,-0.474855112558787,2.53239612783456e-05,6.67332686880547
"CLEC4G",1,-0.229740314679211,2.54629309446895e-05,6.66227954236391
"NDFIP1",1,-0.677416276808096,2.54629309446895e-05,6.6636300198258
"FLJ32063",1,-0.222524969973519,2.55955864642247e-05,6.6544282280147
"TMC6",1,0.598199349607903,2.596203078907e-05,6.63800261063529
"SEC61G",1,-0.347455438438544,2.6115536914159e-05,6.6295039396516
"HMP19",1,-0.755300999652668,2.63894492120212e-05,6.61669498668322
"SST",1,-0.930998281350477,2.64646000775211e-05,6.61111804194416
"DRD1IP",1,-0.673829282574967,2.64756730464954e-05,6.60785787386458
"ARHGEF11",1,-0.149244017987018,2.64949419142616e-05,6.59057728283068
"PLEKHA7",1,0.232190534762181,2.64949419142616e-05,6.59862238095968
"RPA3",1,-0.469940153429214,2.64949419142616e-05,6.59300820160643
"TMEM66",1,-0.429169196191669,2.64949419142616e-05,6.59017178851441
"TTC7B",1,-0.258125279359948,2.64949419142616e-05,6.60131775491334
"ZNF621",1,0.613429248486009,2.64949419142616e-05,6.59464090035867
"CALY",1,-0.796275605714407,2.67411534875248e-05,6.57567274362268
"KTI12",1,-0.221673264104859,2.67411534875248e-05,6.57618929201082
"METTL7B",1,0.31599066464708,2.67411534875248e-05,6.57274793774183
"ZFP161",1,0.272766021333722,2.67411534875248e-05,6.57020710324152
"FAM163A",1,-0.166049460197938,2.7449982834544e-05,6.5425423480646
"TNFRSF10D",1,0.130067156596195,2.7452997130059e-05,6.53967578155793
"FBXW4",1,0.50602632409919,2.79706443085038e-05,6.51616221023629
"SYNGR1",1,-0.335541818151617,2.79706443085038e-05,6.5136630169549
"TXNL4A",1,-0.158134571467486,2.79706443085038e-05,6.51454392097207
"KIFAP3",1,-0.659067916084096,2.83690078631144e-05,6.49747717583109
"AUP1",1,0.294874978777137,2.83737215896095e-05,6.49240625272702
"GSDMD",1,0.692724269054888,2.83737215896095e-05,6.49188213223979
"SDCCAG3",1,0.224010094965147,2.84622499257738e-05,6.48621127842298
"CARD9",1,0.312015981727939,2.89996996507727e-05,6.4657137938126
"AIG1",1,-0.352025085879916,2.91366034268168e-05,6.45854143563216
"NPM2",1,-0.429778347316477,2.98303756566042e-05,6.43346959574563
"DCTN6",1,-0.256810540678723,2.99661814051426e-05,6.42383741314838
"SLC15A3",1,0.647953172420692,2.99661814051426e-05,6.42380349496663
"VKORC1L1",1,-0.413708025950362,3.01058977377858e-05,6.41671704166243
"ELF2",1,0.207806210483264,3.01390257383592e-05,6.41301710194677
"KCNK12",1,0.614350388647541,3.03044277472945e-05,6.4025253177351
"MED7",1,-0.22910352222466,3.03044277472945e-05,6.40350969692294
"LOC100132707",1,0.280886318624471,3.04345161280161e-05,6.39319443061746
